Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
119,Goriawala Cake Shop,3.8,10,50,200,Mumbai,Grant Road,FALSE,1
120,Magdalena,3,5,30,900,Mumbai,Mumbai Central,FALSE,0
121,Atul Pohe Chiwda,3,5,30,500,Mumbai,Mumbai Central,FALSE,0
122,Sweet Bengal,2,10,50,200,Mumbai,Tardeo,FALSE,1
123,Nair Hospital Labour Canteen,4.1,10,50,150,Mumbai,Mumbai Central,FALSE,0
124,China Box Co,3.8,10,50,250,Mumbai,Mumbai Central,FALSE,2
125,Asia Kitchen By Mainland China,4.3,3,25,1400,Mumbai,Tardeo,FALSE,5
126,Shree Sai Prasad,2,10,100,500,Mumbai,Tardeo,FALSE,0
127,Shiv Sai Snacks Corner,4.1,10,50,400,Mumbai,Tulsiwadi,FALSE,4
128,New Star Of India Restaurant,2,10,50,500,Mumbai,Tardeo,FALSE,0
129,Tore Di Pasta,2,10,50,600,Mumbai,Mumbai Central,FALSE,1
130,Elixr Studios,2,10,50,500,Mumbai,Grant Road West,FALSE,0
131,Ustad Fast Food,2,10,50,200,Mumbai,Mumbai Central,FALSE,2
132,Hotel Pramod,4.5,10,50,500,Mumbai,Khardi,FALSE,0
133,Fish 4 U,2,10,50,500,Mumbai,Tardeo,FALSE,0
134,Sarovar Flavours,2,10,100,1200,Mumbai,Mumbai Central,FALSE,2
135,Jainsons Foods,2,10,50,400,Mumbai,Grant Road West,FALSE,0
136,Souffle Cake Shop,3,5,30,300,Mumbai,Tardeo,FALSE,3
137,Original Chung Fa,3.7,10,75,650,Mumbai,Tardeo,FALSE,9
138,The Bogeto Cafe,2,10,50,500,Mumbai,Grant Road West,FALSE,0
139,Oh! Calcutta,4.3,3,25,1800,Mumbai,Tardeo,FALSE,50
140,Oscar Restaurant,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
141,Physicult,2,10,50,300,Mumbai,Tardeo,FALSE,0
142,Jainsons,4,5,30,400,Mumbai,Mumbai Central,FALSE,0
143,Bowl Na!,2,10,50,200,Mumbai,Tulsiwadi,FALSE,0
144,Pramod Restaurant & Bar,3.9,10,50,1000,Mumbai,Tardeo,FALSE,3
145,Sardar Refreshment,3.9,10,50,500,Mumbai,Khardi,FALSE,0
146,Ustad,2,10,100,500,Mumbai,Grant Road West,FALSE,0
147,Nair Hospital Students Canteen,3.5,10,50,100,Mumbai,Agripada,FALSE,0
148,Oh! Fudge,3.5,10,75,300,Mumbai,Khardi,FALSE,5
149,Maybell Caterers,3.8,10,50,400,Mumbai,Khardi,FALSE,0
150,Solanki Sweets,2,10,100,500,Mumbai,Khardi,FALSE,0
151,P Se Paratha,2,10,50,300,Mumbai,Tulsiwadi,FALSE,0
152,Krishna Dairy,2,10,50,100,Mumbai,Tardeo,FALSE,1
153,Masala Masti,2,10,50,500,Mumbai,Tardeo,FALSE,0
154,Omkar Kitchen,2,10,50,400,Mumbai,Tardeo,FALSE,2
155,The Arabic Special,2,10,50,300,Mumbai,Tardeo,FALSE,1
156,Dessi Cuppa,4.3,10,75,300,Mumbai,Grant Road West,FALSE,1
157,Be Right Back,4.3,10,50,300,Mumbai,Tardeo,FALSE,4
158,New Famous Sandwich,2,10,50,500,Mumbai,Agripada,FALSE,0
159,Gajraaj Chinese Center,2,10,50,500,Mumbai,Tardeo,FALSE,0
160,Khans,2,10,100,500,Mumbai,Mumbai Central,FALSE,0
161,Krishna Dairy Farm,2,10,100,500,Mumbai,Khardi,FALSE,0
162,M S Cuisine Chinese Corner,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
163,Yak 99 Chinese,2,10,50,300,Mumbai,Tardeo,FALSE,0
164,Tibb's Frankie - Serving Rolls Since 1969,3.8,10,75,400,Mumbai,Khardi,FALSE,0
165,Bluet - More Than A Café,4,10,125,1400,Mumbai,Mumbai Central,FALSE,29
166,Sardar Pav bhaji,3.9,10,50,250,Mumbai,Tardeo,FALSE,1
167,Firangi Burgers,3,5,30,400,Mumbai,Grant Road,FALSE,0
168,Shahpur Bakery,2,10,50,500,Mumbai,Tardeo,FALSE,0
169,Sardar Pav Bhaji,3.7,10,75,550,Mumbai,Khardi,FALSE,1
170,Soufflé,2,10,50,400,Mumbai,Mumbai Central,FALSE,1
171,Hustler Monk Llp,2,10,50,500,Mumbai,Grant Road West,FALSE,0
172,Rivaaz Restaurant,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
173,4Th June Restaurant,2,10,50,300,Mumbai,Mumbai Central,FALSE,1
174,Suleman Mithaiwala,4.2,10,75,300,Mumbai,Mumbai Central,FALSE,1
175,Chilli Milli Spice,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
176,Bogeto Cafe,4,10,75,1000,Mumbai,Grant Road West,FALSE,9
177,Shree G Fine Dine,2,10,50,450,Mumbai,Mumbai Central,FALSE,2
178,Purohit@08,2,10,50,200,Mumbai,Mumbai Central,FALSE,6
179,Bluet (Hotel Sahil),2.9,3,25,850,Mumbai,Mumbai Central,FALSE,0
180,Balaji Fast Food,4.2,10,30,200,Mumbai,Tardeo,FALSE,4
181,Bluet Restaurant,5,10,275,1800,Mumbai,Mumbai Central,FALSE,16
182,jainsons grilled sandwich,2,10,50,500,Mumbai,Grant Road West,FALSE,0
